,X,name,status,region,city,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,market_type,diff_funding_year,status_label,total_investment_label,diff_funding_year_label,funding_rounds_label,seed_label,venture_label,total_investment_cde,diff_funding_year_cde,funding_rounds_cde,seed_cde,venture_cde
1,1,#waywire,acquired,New York City,New York,1,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,1,0,1,low_medium,low,low,high,low,1,0,0,1,0
2,2,1-800-DENTIST,operating,Los Angeles,Los Angeles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low,low,low,low,low,0,0,0,0,0
3,3,1000memories,acquired,SF Bay Area,San Francisco,2,15000,2520000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5055000,1,1.083333333,1,high_medium,low,low,low,medium,2,0,0,0,1
4,4,1000museums.com,operating,Seattle,Bellevue,6,0,3814772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4962651,1,4.916666667,1,high_medium,high,high,low,medium,2,1,1,0,1
5,5,100Plus,acquired,SF Bay Area,San Francisco,2,750000,5.00E+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000,1,0,1,low_medium,low,low,high,low,1,0,0,1,0
6,6,1010data,operating,New York City,New York,1,0,3.50E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E+07,1,0,1,high,low,low,low,high,3,0,0,0,2
7,7,10X Technologies,operating,SF Bay Area,Oakland,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+06,1,0,1,low_medium,low,low,low,low,1,0,0,0,0
8,8,10X10 Room,operating,Boston,Lexington,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77500,1,0,1,low,low,low,low,low,0,0,0,0,0
9,9,120 Sports,operating,Chicago,Chicago,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low,low,low,low,low,0,0,0,0,0
10,10,12Society,acquired,Los Angeles,West Hollywood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,low,low,low,low,low,0,0,0,0,0
11,11,1366 Technologies,operating,Boston,Bedford,8,0,63450000,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,124750000,0,5.666666667,1,high,high,high,low,high,3,1,1,0,2
12,12,140 Proof,operating,SF Bay Area,San Francisco,2,0,5500000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.10E+07,0,1.75,1,high_medium,high,low,low,medium,2,1,0,0,1
13,13,140Fire,operating,Los Angeles,Santa Monica,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+05,0,0,1,low_medium,low,low,high,low,1,0,0,1,0
14,14,15Five,operating,SF Bay Area,San Francisco,3,2200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400000,1,2.75,1,high_medium,high,high,high,low,2,1,1,1,0
15,15,16 Mile Solutions,operating,Seattle,Seattle,1,0,199957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199957,1,0,1,low,low,low,low,low,0,0,0,0,0
16,16,170 Systems,acquired,Boston,Bedford,1,0,1.40E+07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.80E+07,1,0,1,high,low,low,low,high,3,0,0,0,2
17,18,1Energy Systems,operating,Seattle,Seattle,1,0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450000,1,0,1,low_medium,low,low,low,medium,1,0,0,0,1
18,19,1Life Healthcare,operating,SF Bay Area,San Francisco,1,0,3.00E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.00E+07,0,0,1,high,low,low,low,high,3,0,0,0,2
19,20,1RP Media,operating,Los Angeles,Los Angeles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low,low,low,low,low,0,0,0,0,0
20,21,1stdibs,operating,New York City,New York,4,0,5.70E+07,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.32E+08,1,2.166666667,1,high,high,high,low,high,3,1,1,0,2
21,22,1World Online,operating,SF Bay Area,San Jose,2,0,1500000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.00E+06,1,0.333333333,1,low_medium,low,low,low,medium,1,0,0,0,1
22,23,2080 Media,operating,Atlanta,Atlanta,5,0,35700000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,69500000,1,2.916666667,1,high,high,high,low,high,3,1,1,0,2
23,24,20x200,operating,New York City,New York,2,0,2800000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5600000,0,0.833333333,1,high_medium,low,low,low,medium,2,0,0,0,1
24,25,2.10E+07,operating,SF Bay Area,San Francisco,1,0,5050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050000,1,0,1,high_medium,low,low,low,medium,2,0,0,0,1
25,26,23andMe,operating,SF Bay Area,Mountain View,6,0,110549900,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,222499800,1,7.166666667,1,high,high,high,low,high,3,1,1,0,2
26,27,248 SolidState,operating,Los Angeles,Rolling Hills Estates,1,0,5.00E+05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.00E+06,0,0,1,low_medium,low,low,low,low,1,0,0,0,0
27,28,24Fundraiser.com,operating,Chicago,Willowbrook,1,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+05,1,0,1,low_medium,low,low,high,low,1,0,0,1,0
28,29,27 bards,operating,SF Bay Area,Stanford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low,low,low,low,low,0,0,0,0,0
29,30,28msec,operating,SF Bay Area,Palo Alto,1,0,5844811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5844811,1,0,1,high_medium,low,low,low,medium,2,0,0,0,1
30,31,2AdPro Media Solutions,operating,Los Angeles,Woodland Hills,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low,low,low,low,low,0,0,0,0,0
31,32,2DOLife.com,operating,SF Bay Area,San Pablo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,1,0,1,low,low,low,low,low,0,0,0,0,0
32,33,2nd Watch,operating,Seattle,Seattle,4,0,37644420,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70644420,1,2.833333333,1,high,high,high,low,high,3,1,1,0,2
33,34,2NDNATURE,operating,SF Bay Area,Santa Cruz,1,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,1,low,low,low,low,low,0,0,0,0,0
34,35,3-V Biosciences,operating,SF Bay Area,Menlo Park,4,0,78089000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,128089000,1,3.916666667,1,high,high,high,low,high,3,1,1,0,2
35,36,312 Capital,operating,Chicago,Chicago,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+05,0,0,1,low_medium,low,low,low,low,1,0,0,0,0
36,37,33Across,operating,New York City,New York,5,750000,24904560,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,49039120,0,3.416666667,1,high,high,high,high,high,3,1,1,1,2
37,38,360imaging,operating,Atlanta,Atlanta,2,0,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.00E+06,1,1.166666667,1,low_medium,low,low,low,low,1,0,0,0,0
38,39,365 Data Centers,operating,SF Bay Area,Emeryville,1,0,1.60E+07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.20E+07,0,0,1,high,low,low,low,high,3,0,0,0,2
39,40,37coins,operating,SF Bay Area,Sunnyvale,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,1,0,1,low,low,low,low,low,0,0,0,0,0
40,41,382 Communications,operating,Boston,Quincy,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600000,1,0,1,low_medium,low,low,low,low,1,0,0,0,0
41,43,3D Control Systems,operating,SF Bay Area,San Francisco,1,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,1,0,1,low,low,low,low,low,0,0,0,0,0
42,44,3D Data,operating,Boston,Quincy,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,1,low,low,low,low,low,0,0,0,0,0
43,45,3DBin,operating,SF Bay Area,Redwood City,1,0,4.00E+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+05,1,0,1,low_medium,low,low,low,low,1,0,0,0,0
44,46,3Discovered,operating,Chicago,Chicago,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,low,low,low,low,low,0,0,0,0,0
45,47,3FLOZ,operating,New York City,New York,1,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,1,low_medium,low,low,high,low,1,0,0,1,0
46,48,3Guppies,operating,Seattle,Seattle,1,0,2.00E+07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.00E+07,0,0,1,high,low,low,low,high,3,0,0,0,2
47,49,3Jam,operating,SF Bay Area,San Francisco,1,0,4.00E+06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.00E+06,0,0,1,high_medium,low,low,low,medium,2,0,0,0,1
48,50,3Leaf,acquired,SF Bay Area,Santa Clara,3,0,6.50E+07,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1.30E+08,1,3.666666667,1,high,high,high,low,high,3,1,1,0,2
49,51,3Play Media,operating,Boston,Cambridge,3,50000,961601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011601,1,1.666666667,1,low_medium,high,high,low,low,1,1,1,0,0
50,52,3Scan,operating,SF Bay Area,San Francisco,3,40000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,390000,1,1.833333333,1,low_medium,high,high,low,low,1,1,1,0,0
51,53,3seventy,operating,Austin,Austin,1,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+06,1,0,1,low_medium,low,low,high,low,1,0,0,1,0
52,54,3Sourcing,operating,SF Bay Area,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low,low,low,low,low,0,0,0,0,0
53,55,3TEN8,operating,SF Bay Area,Santa Clara,1,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+06,1,0,1,low_medium,low,low,high,low,1,0,0,1,0
54,56,3TIER,acquired,Seattle,Seattle,3,0,1.50E+07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.70E+07,1,2.416666667,1,high_medium,high,high,low,high,2,1,1,0,2
55,57,3VR,operating,SF Bay Area,San Francisco,6,0,5.30E+07,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,109567194,0,7.666666667,1,high,high,high,low,high,3,1,1,0,2
56,58,40billion.com,operating,Atlanta,Atlanta,3,1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,0,2.166666667,1,low_medium,high,high,high,low,1,1,1,1,0
57,59,41st Parameter,acquired,SF Bay Area,San Jose,4,0,38064570,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,72334570,0,5.916666667,1,high,high,high,low,high,3,1,1,0,2
58,60,42,operating,SF Bay Area,San Francisco,2,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E+05,1,1.166666667,1,low_medium,low,low,high,low,1,0,0,1,0
59,61,422 Group,operating,Atlanta,Tucker,1,0,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+06,1,0,1,low_medium,low,low,low,low,1,0,0,0,0
60,62,42Floors,operating,SF Bay Area,San Francisco,4,400000,1.70E+07,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,34400000,0,1.333333333,1,high,high,high,high,high,3,1,1,1,2
61,63,"43 Things, The Robot Co-op",operating,Seattle,Seattle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,low,low,low,low,low,0,0,0,0,0
